transaction_id,amount,transaction_hour,transaction_day,merchant_category,payment_method,device_type,customer_age,account_age_days,previous_transactions,failed_attempts,transactions_last_24h,average_transaction_amount,distance_from_usual_location,is_new_device,is_international,ip_risk_score,velocity_score,previous_fraud_count,fraud_label
TXN100000,250.82,16,5,travel,wallet,pos,23,343,32,0,1,287.92,16.92,0,0,8.93,11.99,0,0
TXN100001,505.74,3,5,education,wallet,tablet,62,3483,27,1,3,446.02,13.9,0,0,30.9,24.42,0,0
TXN100002,1259.28,7,2,gaming,wallet,pos,55,1911,25,0,3,599.21,0.46,0,0,20.63,23.63,0,0
TXN100003,19301.72,19,2,travel,upi,tablet,43,3615,25,1,0,7703.18,4.43,0,0,0.0,10.79,0,0
TXN100004,150.71,1,6,utilities,emi,desktop,42,1515,31,0,1,138.43,1.29,0,0,39.06,14.92,0,0
TXN100005,656.48,5,6,travel,upi,tablet,66,3041,18,0,1,658.82,6.11,0,0,15.07,27.42,0,0
TXN100006,171.81,1,2,fashion,emi,tablet,22,1208,31,0,3,145.76,32.53,1,0,37.69,14.02,0,0
TXN100007,639.7,2,1,entertainment,emi,tablet,57,1620,39,0,3,896.81,11.5,0,0,31.72,24.08,0,0
TXN100008,365.55,12,4,food_delivery,card,desktop,29,1266,22,0,0,490.73,23.27,1,0,18.83,39.5,0,0
TXN100009,1405.07,21,6,fashion,emi,tablet,23,1998,29,1,1,911.62,3.14,0,0,31.79,15.33,0,0
TXN100010,1506.68,3,2,gaming,card,pos,48,815,29,0,0,929.28,1.63,0,0,23.83,26.66,0,0
TXN100011,741.48,14,3,fashion,upi,pos,73,1837,27,0,3,739.03,4.17,0,0,27.95,22.33,0,0
TXN100012,1223.83,18,3,grocery,emi,tablet,59,3066,29,1,2,546.52,10.88,0,0,4.45,27.14,0,0
TXN100013,965.01,3,2,grocery,card,pos,61,569,18,1,1,888.37,9.9,0,0,27.26,42.93,0,0
TXN100014,646.64,23,0,gaming,emi,tablet,58,2894,37,0,0,886.55,3.46,0,0,27.08,22.07,0,0
TXN100015,10116.69,19,5,electronics,card,tablet,62,3118,24,0,5,9286.1,7.65,0,0,19.67,26.73,0,0
TXN100016,4848.24,16,3,electronics,netbanking,tablet,47,128,25,0,4,1450.31,78.8,0,0,17.88,15.14,0,0
TXN100017,1893.67,5,5,fashion,card,tablet,25,2466,21,0,2,2220.65,3.63,0,0,41.98,9.59,0,0
TXN100018,145.21,15,6,electronics,card,mobile,65,1771,25,0,1,168.41,29.43,0,0,46.96,48.01,0,0
TXN100019,858.27,7,1,education,netbanking,tablet,43,2328,19,0,1,1137.19,22.6,1,0,27.07,14.68,0,0
TXN100020,405.92,12,1,travel,emi,mobile,46,1076,26,1,2,477.55,43.51,0,0,1.22,7.62,0,0
TXN100021,1524.63,17,5,healthcare,netbanking,pos,39,804,24,0,1,1739.4,9.91,0,0,40.89,27.14,0,0
TXN100022,1981.29,21,0,electronics,netbanking,tablet,28,1048,22,0,1,1676.14,7.06,0,0,14.05,7.18,0,0
TXN100023,1348.74,14,0,food_delivery,upi,desktop,70,559,27,3,1,986.96,2.16,0,0,17.25,33.21,0,0
TXN100024,188.02,22,5,education,upi,pos,62,1480,27,1,0,174.9,6.64,0,0,26.25,0.0,0,0
TXN100025,2470.74,16,6,fashion,wallet,desktop,54,3186,31,0,2,915.56,12.27,1,1,34.52,7.06,0,0
TXN100026,627.3,23,1,travel,wallet,tablet,40,2842,17,0,1,1202.16,4.38,0,0,25.05,0.0,0,0
TXN100027,514.53,21,3,utilities,card,mobile,64,655,11,1,1,306.73,24.74,0,0,19.26,16.41,0,0
TXN100028,4365.43,6,0,travel,card,desktop,49,2037,25,1,1,2445.14,25.9,0,0,22.43,30.48,0,0
TXN100029,4075.21,16,1,travel,upi,tablet,43,269,28,0,0,1187.08,5.03,0,0,7.05,19.15,0,0
TXN100030,1203.29,18,2,electronics,upi,desktop,43,218,17,0,3,446.3,5.5,0,0,15.41,22.76,0,0
TXN100031,1613.65,5,5,gaming,card,desktop,30,2283,26,1,2,755.31,31.06,0,0,25.32,8.14,0,0
TXN100032,2055.95,11,0,fashion,emi,desktop,23,1104,24,0,2,4374.08,2.26,0,0,5.52,14.77,0,0
TXN100033,4269.28,13,4,gaming,emi,pos,49,2571,23,3,4,2461.52,64.04,0,0,25.07,2.65,0,0
TXN100034,774.93,23,0,gaming,netbanking,pos,68,569,28,0,2,1722.68,6.56,0,0,14.38,0.0,0,0
TXN100035,557.98,22,3,fashion,upi,pos,21,437,19,1,2,1385.13,23.78,0,0,11.15,7.75,0,0
TXN100036,944.38,0,0,electronics,netbanking,mobile,66,2610,26,0,1,953.18,9.07,0,0,9.42,33.72,0,0
TXN100037,671.18,17,6,fashion,wallet,pos,65,755,32,0,1,1836.47,26.58,1,0,7.78,22.69,1,0
TXN100038,854.95,15,1,healthcare,card,mobile,33,213,26,1,3,2277.41,5.19,0,0,28.78,0.0,0,0
TXN100039,683.06,16,6,fashion,wallet,mobile,54,2879,35,1,1,761.42,27.6,1,0,18.54,20.85,0,0
TXN100040,185.28,14,4,grocery,netbanking,desktop,27,2574,27,0,2,220.72,4.27,0,0,34.2,34.06,0,0
TXN100041,337.84,9,0,electronics,upi,mobile,61,3393,25,0,4,443.05,0.75,0,0,23.76,15.74,0,0
TXN100042,45.57,3,1,entertainment,wallet,pos,57,2186,22,0,8,132.63,23.99,0,0,35.51,21.39,0,0
TXN100043,189.79,3,0,entertainment,card,pos,38,1739,24,1,3,234.76,10.65,0,0,25.87,22.78,0,0
TXN100044,709.04,9,3,utilities,wallet,mobile,21,2447,23,0,0,324.54,17.13,0,0,36.65,21.63,0,0
TXN100045,164.13,0,3,food_delivery,card,mobile,73,2891,17,0,1,195.74,8.15,0,0,6.15,27.23,0,0
TXN100046,1495.84,11,3,education,netbanking,tablet,43,2296,32,0,0,710.92,1.66,0,0,45.01,7.63,0,0
TXN100047,9970.84,7,3,electronics,emi,mobile,68,1166,21,0,1,2366.54,1.72,0,0,3.55,8.03,0,0
TXN100048,11869.6,23,5,gaming,card,mobile,56,3247,20,0,1,5979.25,1.82,0,0,11.45,11.53,0,0
TXN100049,667.36,14,0,gaming,emi,pos,62,2567,32,0,2,411.27,45.56,0,0,21.54,12.69,0,0
TXN100050,261.36,11,0,food_delivery,upi,tablet,61,3202,29,0,2,203.4,4.05,0,1,0.0,31.46,0,0
TXN100051,892.25,4,1,grocery,card,mobile,29,2034,23,0,0,1128.3,4.61,0,0,37.06,17.75,0,0
TXN100052,3685.24,15,5,entertainment,card,mobile,38,1642,21,0,3,2643.95,15.96,0,0,43.0,0.0,1,0
TXN100053,891.82,17,0,entertainment,card,mobile,44,3077,18,1,0,1069.98,2.81,0,0,31.64,32.99,0,0
TXN100054,4785.15,5,4,electronics,wallet,pos,46,2232,24,0,1,1574.33,29.31,0,1,34.09,19.8,0,1
TXN100055,1420.51,4,0,healthcare,netbanking,mobile,20,2832,29,0,1,1117.6,24.62,1,0,0.0,0.0,0,0
TXN100056,1835.68,21,2,travel,netbanking,tablet,49,3248,30,0,0,1561.02,0.95,0,0,20.36,22.57,0,0
